text,label
"Premise: So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.

Hypothesis: The amount of lost mail is huge and really impacts mail volume",2
"Premise: you want to punch the button and go

Hypothesis: You don't want to push the button lightly, but rather punch it hard.",1
"Premise: Buffet and a  la carte available.

Hypothesis: It has a buffet.",0
"Premise: Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.

Hypothesis: Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ",1
"Premise: We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.

Hypothesis: Leading organizations want to be sure their employees are safe.",1
"Premise: oh uh-huh well no they wouldn't would they no

Hypothesis: No, they wouldn't go there.",1
"Premise: Sorry but that's how it is.

Hypothesis: This is how things are and there are no apologies about it.",2
"Premise: Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.

Hypothesis: Pope John Paul II also visited in 1983.",1
"Premise: The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging long-term consequences also began to grow.

Hypothesis: Tourism is not very big in Spain.",2
"Premise: She seemed so different  ""

Hypothesis: She had changed a lot since the last time we'd seen her.",1
"Premise: i'm not opposed to it but when its when the time is right it will probably just kind of happen you know

Hypothesis: I cannot wait for it to happen.",1
"Premise: The census of 1931 served as an alarm signal for the Malay national consciousness.

Hypothesis: The 1931 Malay census was an alarm bell.",0
"Premise: Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?

Hypothesis: Many youth are lazy.",0
"Premise: Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.

Hypothesis: Interest rates should increase to increase saving.",2
"Premise: Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.

Hypothesis: There is a British publication called the Sun.",0
"Premise: He was of two minds, one reveled in the peace of this village.

Hypothesis: He loved how peaceful the village was.",0
"Premise: The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.

Hypothesis: The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.",1
"Premise: We did not study the reasons for these deviations specifically, but they likely result from the context in which federal CIOs operate.

Hypothesis: These deviations mostly involve failure to apply software updates in a timely manner.",1
"Premise: Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.

Hypothesis: Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.",0
"Premise: Table 2: Examples of BLM's, FHWA's, IRS's, and VBA's Customer Satisfaction Expectations for Senior Executive Performance

Hypothesis: Senior Executive's have been studies on various aspects to reach the expectations.",0
"Premise: In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.

Hypothesis: It's impossible to have a plate hand-painted to your own design in Hong Kong.",2
"Premise: There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).

Hypothesis: Jewelry and duty-free shops are an interesting place to buy goods.",1
"Premise: What's truly striking, though, is that Jobs has never really let this idea go.

Hypothesis: Jobs never held onto an idea for long.",2
"Premise: While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.

Hypothesis: Democracies probably won't go to war unless someone attacks them on their soil",0
"Premise: But to you, who know the truth, I propose to read certain passages which will throw some light on the extraordinary mentality of this great man."" He opened the book, and turned the thin pages.

Hypothesis: There is no information on the mentality of the man, extraordinary or not, contained within the thin-paged book. ",2
"Premise: yeah i mean just when uh the they military paid for her education

Hypothesis: The military didn't pay for her education.",2
"Premise: but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in

Hypothesis: These men filed their midterm exams from home. ",2
"Premise: But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.

Hypothesis: Not many couples with kids can save up for retirement.",0
"Premise: and uh as a matter of fact he's a draft dodger

Hypothesis: They dodged the draft, I'll have you know.",0
"Premise: 'Publicity.' Lincoln removed his great hat, making a small show of dusting it off.

Hypothesis: Lincoln took his hat off.",0
"Premise: In the stock market, however, the damage can get much worse.

Hypothesis: The stock market can experience much worse damage. ",0
"Premise: Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.

Hypothesis: Missouri was happy to continue it's planning efforts. ",1
"Premise: He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.

Hypothesis: He had recently seen pictures depicting those things.",2
"Premise: Look, there's a legend here.

Hypothesis: See, there is a well known hero here.",0
"Premise: The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.

Hypothesis: At the end of the fourth century was when baked goods flourished.",1
"Premise: yeah and how about how about like on the weekends do you do sports or do you go out

Hypothesis: No one plays sports on the weekend.",2
"Premise: Harlem was our first permanent office, he said. 

Hypothesis: Harlem did a great job ",1
"Premise: But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.

Hypothesis: The cushion will likely be spent in under two years.",0
"Premise: Oh, what a fool I feel! 

Hypothesis: I am beyond proud.",2
"Premise: She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.

Hypothesis: She has chose to live a hollow life.",2
"Premise: well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday

Hypothesis: All invasions of privacy should be severely punished, because it will teach the criminals that it is not worth doing.",1
"Premise: He had never felt better.

Hypothesis: The medicine he had taken had worked well.",1
"Premise: The campaigns seem to reach a new pool of contributors.

Hypothesis: New people chose to donate to the cause ",0
"Premise: The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.

Hypothesis: Business intelligence industry is a new and promising field of study.",1
"Premise: the net cost of operations.

Hypothesis: The gross cost.",2
"Premise: Credibility is a vital factor, and Jim Lehrer does, indeed, have it.

Hypothesis: Jim Lehrer has no credibility whatsoever.",2
"Premise: Tuppence rose.

Hypothesis: Tuppence floated into the air.",1
"Premise: From the corner of his eye he saw Jamus look over the broken mare.

Hypothesis: Jamus looked over the mare.",0
"Premise: Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices.

Hypothesis: There's nothing worth seeing in the tourist offices.",2
"Premise: Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.

Hypothesis: Changes were made to the Grant Renewal Application to provide extra information to the LSC.",0
"Premise: 'Dave Hanson, to whom nothing was impossible.' Well, we have a nearly impossible task: a task of engineering and building.

Hypothesis: This building job will be very difficult to complete.",0
"Premise: Still, it would be interesting to know. 109 Poirot looked at me very earnestly, and again shook his head. 

Hypothesis: Poirot did not look at me.",2
"Premise: But I'll take up my stand somewhere near, and when he comes out of the building I'll drop a handkerchief or something, and off you go!""

Hypothesis: I want you to follow him, so watch for the signal that I give.",0
"Premise: There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.

Hypothesis:  Cook's American Business Alliance caused shares of stock to come back.",2
"Premise: One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair.

Hypothesis: I was dreadfully worried about many things. ",2
"Premise: Do you think Mrs. Inglethorp made a will leaving all her money to Miss Howard? I asked in a low voice, with some curiosity. 

Hypothesis: I yelled at the top of my lungs.",2
"Premise: Isn't a woman's body her most personal property?

Hypothesis: Women's bodies belong to themselves, they should decide what to do with it. ",1
"Premise: that your approach is is is right you can actually go out and sub it if even if you don't wanna get hands on you can even just sub it out the concrete and those kind of things and and that's kind of the plan i have so um uh everyone i talk to uh i've

Hypothesis: You can sub it even if you do not want to get your hands on it.",0
"Premise: What changed?

Hypothesis: What was unique?",1
"Premise: oh i don't know either the other growing up all i knew was

Hypothesis: I know because I learned it growing up",2
"Premise: WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.

Hypothesis: Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.",2
"Premise: Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.

Hypothesis: Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.",0
"Premise: The entire city was surrounded by open countryside with a scattering of small villages.

Hypothesis: The whole countryside is scattered with small villages. ",0
"Premise: substitute my my yeah my kid'll do uh four or five hours this week for me no problem

Hypothesis: I just can't make the time because of my job.",1
"Premise: it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up

Hypothesis: The weird thing is that Iraq was never interested in that place until now.",2
"Premise: The final rule contains a Federalism Assessment under Executive Order

Hypothesis: The final rule had a federalism assessment that was added through executive order by the President.",1
"Premise: Prototyping, for example, may act as part of the requirements definition process, helping the agency identify and control areas of high uncertainty and technical risk.

Hypothesis: Prototyping is not important, testing with the actual finished product is better.",2
"Premise: The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon's nephew, emerging triumphant.

Hypothesis: France was ruled by Napoleon's nephew after they won a revolution in 1848.",0
"Premise: Boats in daily use lie within feet of the fashionable bars and restaurants.

Hypothesis: Bars and restaurants are interesting places.",1
"Premise: so i guess my experience is is just with what we did and and so they didn't really go through the child care route they were able to be home together

Hypothesis: They were able to be home rather than having to worry about getting child care.",0
"Premise: DOD's common practice for managing this environment has been to create aggressive risk reduction efforts in its programs.

Hypothesis: Creating risk reduction efforts is common practice.",0
"Premise:  Then he ran.

Hypothesis: He ran like an athlete.",1
"Premise: you sound like this girl that i talked to about books and we got into movies one night

Hypothesis: I found out about so many movies I had never heard of.",1
"Premise: if the United States had used full conventional power.

Hypothesis: The United States has no power to use.",2
"Premise: yeah really no kidding

Hypothesis: Really? No kidding! ",0
"Premise: Visit at sundown or out of season to get the full flavor of the setting.

Hypothesis: The setting is better to visit at sundown or during low season.",0
"Premise: In a further role reversal, Gingrich may have positioned himself to fill it.

Hypothesis: Gingrich should not be in power.",1
"Premise: All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.

Hypothesis: The islands are part of France now instead of just colonies.",0
"Premise: (For more information on BLM's senior executive performance plans, see app.

Hypothesis: BLM's performance plans are visible online.",0
"Premise: While parents may pick up this gay semaphore, kids aren't likely to.

Hypothesis: Some kids do understand gay signals.",1
"Premise: Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric.

Hypothesis: Nation officials in Chicago are involved in religious issues.",0
"Premise: Saddam could emerge strengthened (and America tarnished) in the eyes of the Arab world.

Hypothesis: America's opinion on Saddam would also worsen.",1
"Premise: To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.

Hypothesis: The gate to the Hippodrome is an example of the architect's skill.",0
"Premise: There is nothing more to be done here, I think, unless, he stared earnestly and long at the dead ashes in the grate. 

Hypothesis: There isn't anything left to do. ",0
"Premise: In Texas, the legislature was instrumental in effecting changes to the state's benefit programs through provisions in several pieces of legislation.

Hypothesis: The legislature was instrumental in effecting changes to the benefit program.",0
"Premise: Perhaps all we can say of great acting is that it involves assimilation rather than accumulation, that the performer isn't so much a surrogate as a vessel.

Hypothesis: An actor is judged solely on quality of performance.",1
"Premise: In the summer, the Sultan's Pool, a vast outdoor amphitheatre, stages rock concerts or other big-name events.

Hypothesis: Most rock concerts take place in the Sultan's Pool amphitheatre.",1
"Premise: Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiri under feet of ash and pumice but the whole Minoan civilization.

Hypothesis: The entire Minoan civilization was destroyed by a volcanic eruption.",0
"Premise: The great thing is to keep calm."" Julius groaned.

Hypothesis: Julius made a groaning sound.",0
"Premise: June 21, 1995, provides the specific requirements for assessing and reporting on controls.

Hypothesis: There are no specific requirements for assessment.",2
"Premise: This is especially true on Menorca, where cold winter winds limit the season's length.

Hypothesis: This is especially untrue on Menorca, where warm summer weather extends the season's length.",2
"Premise: Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.

Hypothesis: The US could save more than it invested in the 1980's and 90's.",2
"Premise: The sacred is not mysterious to her.

Hypothesis: The woman is familiar with the sacred.",0
"Premise: If you land by boat, Caravelle beach is yours for the using; otherwise you'll have to pay a nominal charge to the vacation club that owns the acreage.

Hypothesis: There is a charge for people arriving at Caravelle beach by land.",0
"Premise: Behind the cathedral, croseover the Rue de la R??publique to the 15th-century Eglise Saint-Maclou, the richest example of Flam?­boy?­ant Gothic in the country.

Hypothesis: Eglise Saint-Michel is built in a flamboyant Gothic style.",0
"Premise: Julius before the safe in the flat, her own question and the pause before his reply, ""Nothing."" Was there really nothing? 

Hypothesis: Julius paused for a while, before answering her.",0
"Premise: GAO recommends that the Secretary of Defense revise policy and guidance

Hypothesis: GAO recommends that the Secretary of Defense revise policy and guidance",0
"Premise: The Kal tangled both of Adrin's arms, keeping the blades far away.

Hypothesis: Adrin's arms were tangled, keeping his blades away from Kal.",0
"Premise: The primary screen must be integrated into the standard intake procedure of the emergency setting and must be the responsibility of the staff to administer to all patients.

Hypothesis: The primary screen is the responsibility of the staff to be given to all patients.",0
"Premise: I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""

Hypothesis: There is an old woman in the village that I have been visiting. ",0
"Premise: As a basic guide, the symbols below have been used to indicate high-season rates in Hong Kong dollars, based on double occupancy, with bath or shower.

Hypothesis: As you can see, the symbols are of dolphins and octopuses.",1
"Premise: Slate 's Joseph Nocera.

Hypothesis: Nocera works for Slate.",0
"Premise: This town, which flourished between 6500 and 5500 b.c. , had flat-roofed houses of mud and timber decorated with wall-paintings, some of which show patterns that still appear on Anatolian kilims.

Hypothesis: This town is over 8000 years old.",0
"Premise: Candidates must submit a set of fingerprints for review by the FBI.

Hypothesis: People that want the job have to have their fingerprints sent to the FBI.",0
"Premise: In 1998, Cesar Chavez fasted for 36 days in California to underscore the dangers of pesticides to farm workers and their children.

Hypothesis: Cesar Chavez was not concerned about the dangers of pesticide use.",2
"Premise: The red moon made her skin glow.

Hypothesis: Her skin was glowing from the red moon.",0
"Premise: Strategic parents might spend a large portion of their tax cuts, causing interest rates to rise.

Hypothesis: Tax cuts geared to parents will give them greater spending flexibility but will also lead to higher interest rates on loans.",1
"Premise: However, in the off-field (sentimental) tournament, the Falcons and Jets have more appealing story lines.

Hypothesis: The Jets and Falcons have boring stories.",2
"Premise: right after the war

Hypothesis: Just after the war ended.",0
"Premise: i'm kind of familiar with the weather out that way in west Texas but not in not in Lewisville

Hypothesis: I do not know the weather conditions in Lewisville.  ",0
"Premise: In the moment of victory, Tuppence betrayed a somewhat unsportsmanlike triumph.

Hypothesis: Tuppence was triumphant.",0
"Premise: The central features of the Results Act-strategic planning, performance measurement, and public reporting and accountability-can serve as powerful tools to help change the basic culture of government.

Hypothesis: The Results Act has strategic planning as a central feature. ",0
"Premise: The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.

Hypothesis: The cathedral will be spotted midway along the path to the fortress at the summit.",1
"Premise: They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior.

Hypothesis: The Jesuit presence in Asia helped to convert local residents to Christianity, allowing them to expand their territory. ",2
"Premise: Dirt mounds surrounded the pit so that the spectators stood five or six people deep around the edge of the pit.

Hypothesis: The ground is totally flat.",2
"Premise: i think it's real good anyway it's it's been it was nice meeting you

Hypothesis: It was nice meeting you",0
"Premise: um-hum  right do where are you at what state

Hypothesis: Where are you located?",0
"Premise: Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.

Hypothesis: There were a lot of small towns in the oil fields.",0
"Premise: There's only one thing for me to do.""

Hypothesis: There's a few things left for me to do.",2
"Premise: The  liberation  of these old European colonies created the basis for postwar independence movements proclaiming the Japanese slogan  Asia for the Asians.  

Hypothesis: Old European colonies were liberated.",0
"Premise: The inquiry expanded very quickly, however, from asking what technology failed to an examination of contextual influences, such as

Hypothesis: They moved they inquiries over from technology failing because they thought it may be something else.",1
"Premise: Your man wouldn't have remained conscious after the first blow.

Hypothesis: After the first blow to the head, your man wouldn't have remained conscious.",1
"Premise: But those that are manufactured for sale in in Europe and so forth are quite the other way around

Hypothesis: The ones that are made to sell in Europe are different.",0
"Premise: Fixing current levels of damage would be impossible.

Hypothesis: The damage could never be fixed by an artisan.",1
"Premise: Since his death it has been transformed into the Bob Marley Museum and carefully managed by the Marley family to protect the memory of his life.

Hypothesis: The museum contains works from other members of the Marley family.",1
"Premise: Sometimes it flattens entire neighbourhoods to make life easier for them.

Hypothesis: All neighborhoods are perfectly safe in their pursuit of an easier life.",2
"Premise: To make matters worse, many employers looking to save money (and please their employees) will drop dependent benefits if states provide better coverage than the private plans now do.

Hypothesis: When states provide better coverage than private plans, many employers will drop dependent benefits and pass the savings on to you.",1
"Premise: Then I considered.

Hypothesis: Afterwards, I thought about it.",0
"Premise: probably so yeah you can get a head start on it

Hypothesis: You can get a head start on it if you plant now.",1
"Premise: The conversation he had overheard had stimulated his curiosity.

Hypothesis: The conversation made him curious because they spoke about treasure",1
"Premise: You will find two principal  fino and olorose

Hypothesis: You won't find any fino or olorose.",2
"Premise: The sooner we strike the better."" He turned to Tuppence.

Hypothesis: He convinced Tuppence to hold off on their action plan. ",2
"Premise: yeah that's where i got to too the first i got chills up and down when i heard the on the radio and the first time they started doing the bombing

Hypothesis: When I heard that on the radio I got chills and the beginning of the bombing.",0
"Premise: This having come to his stepmother's ears, she taxed him with it on the afternoon before her death, and a quarrel ensued, part of which was overheard. 

Hypothesis: A fight broke out between the stepmother and the man before her death.",0
"Premise: Next, you enter the vast and splendid Imperial Hall, with three handsome marble fountains, and a canopied throne from which the sultan would enjoy the music and dancing of his concubines.

Hypothesis: The Imperial Hall houses three marble fountains.  ",0
"Premise: The tomb guardian will unlock the gate to the tunnel and give you a candle to explore the small circular catacomb, but for what little you can see, it is hardly worth the effort.

Hypothesis: The tomb garden can give you a thorough tour of the catacombs.",1
"Premise: at least i'm going to give it a try cause you can see i mean the oil filters i mean you can touch it it's right there

Hypothesis: It seems like it's worth trying to get the oil filter out.",0
"Premise: Tracking down the tiger is a subtle affair, and requires a degree of dedication, calm, and stealth.

Hypothesis: You must be very silent when tracking tigers.",0
"Premise: Adrin nodded.

Hypothesis: Adrin nodded his head.",0
"Premise: The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.

Hypothesis: The WP runs a piece outside reporting ",2
"Premise: yeah but uh do you have small kids

Hypothesis: Do you have any children? ",1
"Premise: For big Raj-buffs, the supreme example of Indo-Gothic style is the Victoria Terminus, affectionately abbreviated to VT nowadays, once the railway station that launched adventures inland, now handling mostly suburban traffic.

Hypothesis: The Victoria Terminus is still the main departure point for travelers heading deeper into the country.",2
"Premise: Cop  Bud White (Crowe) and Ed Exley (Pearce) almost mix it up (59 seconds) :

Hypothesis: Bud White and Ed Exley almost mix it up.",0
"Premise: The only drawback is, of course, the large crowds in summer.

Hypothesis: It is pretty much deserted in July.",2
"Premise: The word itself, tapa, is translated as  lid  and derives from the old custom of offering a bite of food along with a drink, the food being served on a saucer sitting on top of the glass like a lid.

Hypothesis: Tapas are only small in order for you to try a lot.",1
"Premise: yeah yeah and i took a five year note out on my car when i right when i got out of college and uh i'll never do that again i still got a couple of years on it to go and i'm

Hypothesis: My biggest mistake was taking a five year note out on my car.",1
"Premise: To places where surface transportation is not available, senders would be required to pay air rates, and possibly air rates keyed to the characteristics of the Alaskan air system.

Hypothesis: The Alaskan air system is an effective method of shipping.",1
"Premise: were sort of a double sign with a a big miles per hour and a little kilometers per hour type uh marking on the side

Hypothesis: A sign that only displays mph.",2
"Premise: The Tunnel of Eupalinos can be explored but it's not for the claustrophobic.

Hypothesis: Claustrophobics will not enjoy the tunnel of Eupalinos.",0
"Premise: Another alternative is that our heroes were pursuing the noble goal of academics everywhere--tenure.

Hypothesis: Our heroes aren't going for any academic goals. ",2
"Premise: He pulled his cloak tighter and wished for a moment that he had not shaved his head.

Hypothesis: The man pulled his super hero cape around himself to show off.",1
"Premise: and uh you know once you start up at the top and try to get those dollars on down to the hands that need them you know there's a lot of places the money stops and disappears along the way

Hypothesis: There needs to be a more transparent distribution of money.",1
"Premise: As discussed in section 1, personal saving is the amount of aggregate disposable personal income left over after personal spending on goods and services.

Hypothesis: Personal saving is how much disposable personal income is left over after personal spending and is typically about 5%.",1
"Premise: By then, the program had added Carroll and Grayson counties and the city of Galax and had five attorneys.

Hypothesis: The program had only one single attorney.",2
"Premise: approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.

Hypothesis: The hazards range from effecting the individual all the way up to the community.",1
"Premise: Clearly, GAO needs assistance to meet its looming human capital challenges.

Hypothesis: The GAO has been receiving so many applications from qualified job seekers that they have had to raise the bar in hiring new employees.",1
"Premise: Well? cried Tommy eagerly.

Hypothesis: Tommy didn't speak.",2
"Premise: Even the lower limit of that differential compounds to a hefty sum over time.

Hypothesis: The differential will not grow.",2
"Premise: He had forgotten about Adrin.

Hypothesis: He didn't remember Adrin.",0
"Premise: The best beach in Europe ' at least that's the verdict of its regulars.

Hypothesis: Regulars say that it is totally free of litter and pollution.",1
"Premise: Reportedly the biggest payment made in such a case, it is hardly a nick in Texaco's annual revenue of more than $30 billion.

Hypothesis: The biggest payment they made barely hurt their profits.",0
"Premise: The flame or whatever it was had enough heat, but it was hard to control.

Hypothesis: The flame was easy to control, but lacked heat. ",2
"Premise: um pardon me

Hypothesis: I don't apologize.",2
"Premise: However, the WRAP States may unanimously petition the Administrator to determine that the total emissions of affected EGUs are reasonably projected to exceed 271,000 tons in 2018 or a later year and to make affected EGUs subject to the requirements of the new WRAP trading program.

Hypothesis: The WRAP States may unanimously petition the Administrator to overturn the smoking ban.",1
"Premise: We hate them because they are smarter, or more studious, or more focused than we are.

Hypothesis: We hate them out of jealousy for being smarter than us. ",0
"Premise: These alone could have valuable uses.

Hypothesis: These by themselves could prove valueable. ",0
"Premise: Near Jerusalem

Hypothesis: It is close to Jerusalem.",0
"Premise: Tell me, how did those scribbled words on the envelope help you to discover that a will was made yesterday afternoon?"" Poirot smiled. 

Hypothesis: How could you not figure out that there was a will written yesterday?",2
"Premise: Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.

Hypothesis: Raccoons, if they are abandoned, tend to damage things- this is what has been happening for the past 20 years.",0
"Premise: 32 Under the RSA proposal, a worker between the ages of 25 and 60 with family earnings of at least $5,000 could contribute up to $1,000 annually through either an employer-sponsored saving plan or a tax-deferred individual account.

Hypothesis: Most workers could contribute up to $1,000 each year.",0
"Premise: senior management oversight and approval ofRequired acquisition objectives and plans.

Hypothesis: the referenced organization is expansive, with a number of other divisions in addition to the senior management division.",1
"Premise: yeah well the uh NC double A tournament's going on right now and uh i haven't watched it this year because Louisville's out of it this year

Hypothesis: I'll watch the basketball tournament next year.",1
"Premise: of course you could annex Cuba but they wouldn't like that a bit

Hypothesis: Annexing Cuba is a great idea.",2
"Premise: I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""

Hypothesis: I am good friends with Monsieur Poirot.",1
"Premise: ( sums up the millennium coverage from around the globe, and  examines whether the Y2K preparations were a waste.)

Hypothesis: (The millennium coverage from around the globe is summed up and examined).",0
"Premise: They are levied through the power of the Government to compel payment, and the person or entity that pays these fees does not receive anything of value from the Government in exchange.

Hypothesis: They are not levied through the power of the Government to compel payment.",2
"Premise: Moreover, Las Vegas has recently started to show signs of maturity in its cultural status as well.

Hypothesis: The culture of Las Vegas has recently matured.",0
"Premise: so Eric what do you think um

Hypothesis: How do you feel about it, Eric?",0
"Premise: Sir James's presence in Manchester was not accidental.

Hypothesis: Manchester was not the place that Sir James had intended to go.",2
"Premise: Such multicolored reef dwellers as the parrotfish and French angelfish, along with weirdly shaped coral, crawfish, or turtles hiding in crevices, can be yours for the viewing in these clear waters where visibility of 30 m (100 ft) is common.

Hypothesis: Because visibility is so good, you can see French angelfish, crawfish, and other reef dwellers.",0
"Premise: Benchmarked by U.S.

Hypothesis: Benchmark in America.",0
